strategy,capacity_kwh,power_kw,capex,annual_bill,imported_kwh,exported_kwh,netted_kwh,savings_per_kwh,annual_savings,npv,irr,payback_years,lifetime_years,self_consumption,self_sufficiency,cycles_per_year
economic,2.5,1.25,1400.0,544.474269846422,4062.5092563079243,3479.6326700645486,0.0,74.09394010191886,185.23485025479715,1021.3056561727923,0.08259372829829312,8.11298580610044,15.0,0.4064827207836425,0.5413418274081206,333.7702467539862
economic,5.0,2.5,2400.0,407.75964068778796,3468.5372367320188,2843.4211075023204,0.0,64.38989588268623,321.94947941343116,1808.3770652949177,0.08500580976064037,7.991633553958752,15.0,0.5249043277396049,0.7157740710301893,303.4191027172037
economic,7.5,3.75,3400.0,309.1933567325308,3085.2640094587105,2417.179952319898,0.0,56.06876844915845,420.51576336868834,2096.790668461458,0.07106154880445723,8.732824985506948,15.0,0.6258032114362585,0.7909931276444427,282.3254324624319
economic,10.0,5.0,4400.0,233.12741424893358,2840.9279733663698,2129.749450994802,0.0,49.658170585228554,496.58170585228555,2091.090048541953,0.05610279941446317,9.65723021077531,15.0,0.7100229495292586,0.8089575442536311,262.0121099608813
economic,15.0,7.5,6400.0,115.55391724472696,2525.409412773525,1741.4200717181939,0.0,40.943680190432815,614.1552028564922,1627.9572898883357,0.03136492905192277,11.571210556718434,15.0,0.8400643841556786,0.8100235838451191,228.72358749648973
green,2.5,1.25,1400.0,610.1635631511973,3989.9965865710915,3442.496071579289,0.0,67.22012005663555,168.05030014158888,796.6770383362389,0.06608900448464505,9.02186169579134,15.0,0.41386451648326394,0.5142731271742667,292.9292108409468
green,5.0,2.5,2400.0,481.0498529899544,3352.222459580099,2774.2145512486904,0.0,59.43280206056636,297.1640103028318,1484.392693747987,0.07124751989509143,8.722291926703415,15.0,0.5318636857734467,0.6555065001847322,276.6304536835884
green,7.5,3.75,3400.0,386.06713622480277,2890.703585567539,2284.3064810550754,0.0,52.28623027573112,392.1467270679834,1725.9635376025376,0.059581643353745856,9.428921327480573,15.0,0.6322140820547534,0.7083248847639471,259.25615331840254
green,10.0,5.0,4400.0,311.38475655525315,2557.486783968189,1920.751366936402,0.0,46.682910673753305,466.82910673753304,1702.1776142818885,0.046428187332350546,10.341378344927236,15.0,0.7169664325638245,0.7275204461579879,241.4271219057063
green,15.0,7.5,6400.0,198.51797753281718,2051.5488664248023,1356.9550815886414,0.0,38.646392383997934,579.695885759969,1177.5207803498056,0.023045061972040003,12.351856582962288,15.0,0.8478358047177279,0.7398053123689564,208.9835427304089
