scenario,pv_kwp,battery_kwh,discount_rate,annual_savings,breakeven_eur_per_kwh
1-hour-battery,0.0,2.5,0.0,95.64693052785219,340.1012575421821
1-hour-battery,0.0,2.5,0.01,95.64693052785219,303.99459901318363
1-hour-battery,0.0,2.5,0.02,95.64693052785219,271.58982309450613
1-hour-battery,0.0,2.5,0.03,95.64693052785219,242.4368303184402
1-hour-battery,0.0,2.5,0.04,95.64693052785219,216.14672677350208
1-hour-battery,0.0,5.0,0.0,159.88155386789435,337.979780981308
1-hour-battery,0.0,5.0,0.01,159.88155386789435,307.80218595167617
1-hour-battery,0.0,5.0,0.02,159.88155386789435,280.7185885062232
1-hour-battery,0.0,5.0,0.03,159.88155386789435,256.35279987498416
1-hour-battery,0.0,5.0,0.04,159.88155386789435,234.37978629830408
1-hour-battery,0.0,7.5,0.0,206.61740222277103,306.7744858144969
1-hour-battery,0.0,7.5,0.01,206.61740222277103,280.77517094875424
1-hour-battery,0.0,7.5,0.02,206.61740222277103,257.44147000307163
1-hour-battery,0.0,7.5,0.03,206.61740222277103,236.44927993777065
1-hour-battery,0.0,7.5,0.04,206.61740222277103,217.51856998661685
1-hour-battery,0.0,10.0,0.0,240.49745259546853,274.36732421763884
1-hour-battery,0.0,10.0,0.01,240.49745259546853,251.67041342803978
1-hour-battery,0.0,10.0,0.02,240.49745259546853,231.30053324119052
1-hour-battery,0.0,10.0,0.03,240.49745259546853,212.97474782527416
1-hour-battery,0.0,10.0,0.04,240.49745259546853,196.44859561073037
1-hour-battery,0.0,12.5,0.0,268.1542987078717,248.41527576276516
1-hour-battery,0.0,12.5,0.01,268.1542987078717,228.16965858907298
1-hour-battery,0.0,12.5,0.02,268.1542987078717,209.999749919127
1-hour-battery,0.0,12.5,0.03,268.1542987078717,193.65317133064806
1-hour-battery,0.0,12.5,0.04,268.1542987078717,178.9118633970969
1-hour-battery,0.0,15.0,0.0,293.94847822390807,229.4907147936474
1-hour-battery,0.0,15.0,0.01,293.94847822390807,210.99648594982202
1-hour-battery,0.0,15.0,0.02,293.94847822390807,194.39840221987555
1-hour-battery,0.0,15.0,0.03,293.94847822390807,179.4659176907427
1-hour-battery,0.0,15.0,0.04,293.94847822390807,165.999836610505
1-hour-battery,0.0,20.0,0.0,341.1155973689297,202.94539180452094
