name,scenario,pv_kwp,battery_kwh,battery_kw,household_kwh,orientation,tilt,degradation,ev_weekdays_only,ev_kwh_per_day,ev_charge_kw,connection_kw,battery_efficiency,ev_efficiency,battery_hours,battery_soc_min,v2g_kw,ev_capacity_kwh,ev_departure,ev_return,tariff,net_metering,transport,annual_bill,imported_kwh,exported_kwh,solar_available_kwh,solar_curtailed_kwh,base_load_kwh,ev_charge_kwh,battery_charge_kwh,battery_discharge_kwh,peak_import_kw,peak_export_kw,solar_curtailed_share,solar_to_load_share,solar_to_export_share,solar_to_battery_share,solar_to_ev_share,ev_from_solar_share,ev_from_grid_share,ev_from_battery_share,load_from_solar_share,load_from_grid_share,load_from_battery_share,battery_from_solar_share,battery_from_grid_share,demand_kwh,demand_from_solar_share,demand_from_grid_share,demand_from_battery_share,self_consumption,self_sufficiency,capex,annual_savings,npv,irr,payback_years,lifetime_years,cycles_per_year
1-hour-battery|pv=00.0|bat=00.0,1-hour-battery,0.0,0.0,0.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,1338.814211402097,6339.13043478261,0.0,0.0,0.0,3500.0,2839.13043478261,0.0,0.0,13.069897129267877,0.0,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,1.0,0.0,NaN,NaN,6339.130434782601,0.0,1.0,0.0,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
1-hour-battery|pv=00.0|bat=02.5,1-hour-battery,0.0,2.5,2.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,1243.1672808742449,6423.835980442826,9.631767914830188,0.0,0.0,3500.0,2839.1304347826103,780.9490025167804,705.8752247713944,15.170410269270693,2.0891146667339027,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.8010732980409803,0.19892670195901968,0.0,1.0,6339.130434782604,0.0,0.8901673559142589,0.10983264408574105,NaN,0.19892670195901835,1400.0,95.64693052785219,-149.74685614454506,-0.014473927740527925,Inf,15.0,282.3500899085578
1-hour-battery|pv=00.0|bat=05.0,1-hour-battery,0.0,5.0,5.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,1178.9326575342027,6511.531560195616,43.71512272229895,0.0,0.0,3500.0,2839.1304347826103,1341.77951477649,1213.093512085782,17.25,4.690530004945193,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.6658918887532875,0.3341081112467124,0.0,1.0,6339.130434782604,0.0,0.8155301580565139,0.18446984194348617,NaN,0.3341081112467095,2400.0,159.88155386789435,-310.1010950934591,-0.017606163039781166,Inf,15.0,242.6187024171564
1-hour-battery|pv=00.0|bat=07.5,1-hour-battery,0.0,7.5,7.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,1132.196809179326,6604.736775473835,95.13441567566052,0.0,0.0,3500.0,2839.13043478261,1781.3146155442605,1610.8426905286951,17.250000000000036,7.230577017579646,NaN,NaN,NaN,NaN,NaN,0.0,0.9895663868220825,0.010433613177917488,0.0,0.5754040325328953,0.4245959674671047,0.0,1.0,6339.130434782605,0.0,0.7608964998517157,0.23910350014828433,NaN,0.42459596746710293,3400.0,206.61740222277103,-699.1913563912727,-0.02873918128139797,Inf,15.0,214.779025403826
1-hour-battery|pv=00.0|bat=10.0,1-hour-battery,0.0,10.0,10.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,1098.3167588066285,6705.50629215735,164.69577164685597,0.0,0.0,3500.0,2839.13043478261,2112.3598536193213,1910.6797678914372,17.250000000000014,9.752660847088022,NaN,NaN,NaN,NaN,NaN,0.0,0.9490083046382899,0.050991695361710096,0.0,0.5425108794222872,0.4574891205777128,0.0,1.0,6339.130434782604,0.0,0.7245704258324727,0.2754295741675274,NaN,0.45748912057771046,4400.0,240.49745259546853,-1256.3267578236118,-0.04108328404110698,Inf,15.0,191.06797678914373
1-hour-battery|pv=00.0|bat=12.5,1-hour-battery,0.0,12.5,12.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,1070.6599126942253,6810.340087126155,244.08842703613828,0.0,0.0,3500.0,2839.13043478261,2384.2561569990553,2157.1349316916476,17.250000000000046,12.294466056279509,NaN,NaN,NaN,NaN,NaN,0.0,0.8999607133762,0.10003928662380007,0.0,0.534565165334873,0.465434834665127,0.0,1.0,6339.130434782604,0.0,0.6982162578389792,0.3017837421610207,NaN,0.4654654695612488,5400.0,268.1542987078717,-1894.8090529654362,-0.05183373544952423,Inf,15.0,172.5707945353318
1-hour-battery|pv=00.0|bat=15.0,1-hour-battery,0.0,15.0,15.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,1044.865733178189,6929.50711454179,338.5517829486332,0.0,0.0,3500.0,2839.13043478261,2648.5886852363783,2396.7637884258315,17.25000000000003,14.794466056279509,NaN,NaN,NaN,NaN,NaN,0.0,0.8516393646755738,0.14836063532442625,0.0,0.5322866255988733,0.4677133744011267,0.0,1.0,6339.130434782603,0.0,0.6753163503019499,0.32468364969805,NaN,0.46776121243390856,6400.0,293.94847822390807,-2557.6392780952897,-0.060306138702499436,Inf,15.0,159.7842525617221
1-hour-battery|pv=00.0|bat=20.0,1-hour-battery,0.0,20.0,20.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,997.6986140331674,7158.30110886538,521.7740108725577,0.0,0.0,3500.0,2839.13043478261,3137.914494463721,2840.5178312535077,17.250000000000014,17.25,NaN,NaN,NaN,NaN,NaN,0.0,0.7678863016562839,0.2321136983437161,0.0,0.5257877842618963,0.4742122157381036,0.0,1.0,6339.130434782599,0.0,0.6342173671552676,0.36578263284473245,NaN,0.4742122157381018,8400.0,341.1155973689297,-3941.0921639095814,-0.07320894080909976,Inf,15.0,142.02589156267538
1-hour-battery|pv=00.0|bat=25.0,1-hour-battery,0.0,25.0,25.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,970.504314265859,7377.808365288922,716.171644681233,0.0,0.0,3500.0,2839.13043478261,3417.3721623085057,3094.8658764834263,17.250000000000018,17.25,NaN,NaN,NaN,NaN,NaN,0.0,0.7591677430138262,0.24083225698617383,0.0,0.5157314167670383,0.4842685832329618,0.0,1.0,6339.130434782603,0.0,0.6247601691944406,0.37523983080555956,NaN,0.4842685832329603,10400.0,368.3098971362381,-5585.620654354718,-0.08694869573776663,Inf,15.0,123.79463505933705
1-hour-battery|pv=00.0|bat=30.0,1-hour-battery,0.0,30.0,30.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,952.0665985569574,7577.012605316712,895.7238987349415,0.0,0.0,3500.0,2839.13043478261,3640.854069734987,3298.695797935826,17.250000000000018,17.25,NaN,NaN,NaN,NaN,NaN,0.0,0.7535505195065096,0.24644948049349036,0.0,0.5133515204298691,0.48664847957013085,0.0,1.0,6339.130434782603,0.0,0.6209303588366223,0.37906964116337755,NaN,0.4866484795701295,12400.0,386.74761284513966,-7344.611226207361,-0.09918654751383618,Inf,15.0,109.95652659786086
