# run started 2026-08-17 06:47:21
# name	seconds	imported_kwh	annual_bill_eur
perfect|w=24.0|pv=06.0|bat=00.0       	    4.3	  4672.4	   634.00
perfect|w=24.0|pv=12.0|bat=00.0       	    4.3	  4232.4	    75.79
perfect|w=24.0|pv=00.0|bat=00.0       	    4.3	  6339.1	  1338.81
perfect|w=06.0|pv=00.0|bat=00.0       	  158.5	  6339.1	  1379.00
poor|w=06.0|pv=00.0|bat=00.0          	  162.4	  6339.1	  1379.00
perfect|w=06.0|pv=06.0|bat=00.0       	  167.3	  5020.3	   703.85
perfect|w=06.0|pv=12.0|bat=00.0       	  167.8	  4607.9	   153.88
pv-only|w=06.0|pv=06.0|bat=00.0       	  171.3	  5021.7	   704.84
pv-only|w=06.0|pv=12.0|bat=00.0       	  173.2	  4623.3	   156.63
typical|w=06.0|pv=12.0|bat=00.0       	  173.5	  4615.9	   155.63
typical|w=06.0|pv=06.0|bat=00.0       	  174.6	  5021.6	   704.67
perfect|w=12.0|pv=00.0|bat=00.0       	  263.9	  6339.1	  1374.42
poor|w=12.0|pv=00.0|bat=00.0          	  267.6	  6339.1	  1374.42
perfect|w=12.0|pv=12.0|bat=00.0       	  285.9	  4602.3	   150.68
perfect|w=12.0|pv=06.0|bat=00.0       	  286.7	  5019.3	   699.95
typical|w=12.0|pv=06.0|bat=00.0       	  287.5	  5019.3	   701.53
typical|w=12.0|pv=12.0|bat=00.0       	  292.7	  4612.1	   151.85
pv-only|w=12.0|pv=12.0|bat=00.0       	  294.5	  4616.6	   152.90
pv-only|w=12.0|pv=06.0|bat=00.0       	  295.0	  5022.7	   700.75
good|w=06.0|pv=00.0|bat=00.0          	  156.5	  6339.1	  1379.00
pv-only|w=06.0|pv=00.0|bat=00.0       	  159.1	  6339.1	  1379.00
good|w=06.0|pv=06.0|bat=00.0          	  165.3	  5019.2	   704.39
good|w=06.0|pv=12.0|bat=00.0          	  167.6	  4612.2	   154.41
load-only|w=06.0|pv=06.0|bat=00.0     	  168.0	  5021.0	   704.62
poor|w=06.0|pv=06.0|bat=00.0          	  166.0	  5029.2	   705.50
load-only|w=06.0|pv=12.0|bat=00.0     	  168.0	  4611.0	   153.04
poor|w=06.0|pv=12.0|bat=00.0          	  168.7	  4623.0	   156.40
typical|w=06.0|pv=00.0|bat=00.0       	  130.4	  6339.1	  1379.00
load-only|w=06.0|pv=00.0|bat=00.0     	  128.9	  6339.1	  1379.00
poor|w=24.0|pv=00.0|bat=00.0          	  463.7	  6339.1	  1338.81
good|w=24.0|pv=00.0|bat=00.0          	  464.2	  6339.1	  1338.81
good|w=12.0|pv=00.0|bat=00.0          	  222.9	  6339.1	  1374.42
pv-only|w=12.0|pv=00.0|bat=00.0       	  219.6	  6339.1	  1374.42
typical|w=24.0|pv=06.0|bat=00.0       	  490.6	  4669.1	   634.53
typical|w=24.0|pv=12.0|bat=00.0       	  494.0	  4253.0	    77.86
pv-only|w=24.0|pv=06.0|bat=00.0       	  495.3	  4668.6	   634.43
good|w=24.0|pv=12.0|bat=00.0          	  492.4	  4241.8	    77.77
good|w=24.0|pv=06.0|bat=00.0          	  493.7	  4668.8	   634.53
pv-only|w=24.0|pv=12.0|bat=00.0       	  503.4	  4248.7	    78.93
poor|w=12.0|pv=06.0|bat=00.0          	  232.0	  5027.5	   702.43
good|w=12.0|pv=06.0|bat=00.0          	  233.8	  5019.6	   700.31
good|w=12.0|pv=12.0|bat=00.0          	  235.0	  4607.1	   151.22
load-only|w=12.0|pv=12.0|bat=00.0     	  230.8	  4603.5	   150.72
load-only|w=12.0|pv=06.0|bat=00.0     	  230.6	  5018.3	   701.44
poor|w=12.0|pv=12.0|bat=00.0          	  234.5	  4618.8	   152.34
typical|w=12.0|pv=00.0|bat=00.0       	  145.2	  6339.1	  1374.42
load-only|w=12.0|pv=00.0|bat=00.0     	  147.3	  6339.1	  1374.42
pv-only|w=24.0|pv=00.0|bat=00.0       	  265.7	  6339.1	  1338.81
typical|w=24.0|pv=00.0|bat=00.0       	  265.4	  6339.1	  1338.81
perfect|w=48.0|pv=00.0|bat=00.0       	  736.0	  6339.1	  1278.24
poor|w=48.0|pv=00.0|bat=00.0          	  742.9	  6339.1	  1278.24
perfect|w=48.0|pv=06.0|bat=00.0       	  753.3	  4273.3	   539.86
perfect|w=48.0|pv=12.0|bat=00.0       	  757.7	  3807.1	   -17.08
pv-only|w=48.0|pv=12.0|bat=00.0       	  758.8	  3810.7	   -16.62
pv-only|w=48.0|pv=06.0|bat=00.0       	  759.2	  4276.1	   540.25
typical|w=48.0|pv=12.0|bat=00.0       	  760.6	  3812.1	   -16.21
typical|w=48.0|pv=06.0|bat=00.0       	  763.3	  4276.9	   540.39
poor|w=24.0|pv=06.0|bat=00.0          	  274.9	  4675.3	   635.84
poor|w=24.0|pv=12.0|bat=00.0          	  275.7	  4263.9	    79.60
load-only|w=24.0|pv=06.0|bat=00.0     	  276.6	  4668.5	   634.40
load-only|w=24.0|pv=12.0|bat=00.0     	  273.3	  4247.4	    76.94
load-only|w=24.0|pv=00.0|bat=00.0     	  203.6	  6339.1	  1338.81
good|w=48.0|pv=00.0|bat=00.0          	  394.1	  6339.1	  1278.24
pv-only|w=48.0|pv=00.0|bat=00.0       	  394.2	  6339.1	  1278.24
good|w=48.0|pv=06.0|bat=00.0          	  404.7	  4274.9	   540.12
good|w=48.0|pv=12.0|bat=00.0          	  404.9	  3806.1	   -17.37
load-only|w=48.0|pv=06.0|bat=00.0     	  405.1	  4275.1	   540.17
load-only|w=48.0|pv=12.0|bat=00.0     	  406.2	  3808.6	   -16.83
poor|w=48.0|pv=12.0|bat=00.0          	  404.5	  3818.2	   -14.87
poor|w=48.0|pv=06.0|bat=00.0          	  402.9	  4278.0	   540.85
typical|w=48.0|pv=00.0|bat=00.0       	  279.2	  6339.1	  1278.24
load-only|w=48.0|pv=00.0|bat=00.0     	  277.7	  6339.1	  1278.24
perfect|w=24.0|pv=06.0|bat=10.0       	    1.7	  2626.1	   115.31
perfect|w=24.0|pv=06.0|bat=15.0       	    1.7	  2243.6	   -17.63
perfect|w=24.0|pv=06.0|bat=20.0       	    1.7	  2204.9	  -104.47
perfect|w=24.0|pv=06.0|bat=05.0       	    1.7	  3334.7	   305.95
perfect|w=06.0|pv=00.0|bat=10.0       	  253.1	  6633.0	  1225.65
perfect|w=06.0|pv=00.0|bat=15.0       	  253.3	  6813.6	  1205.36
perfect|w=06.0|pv=00.0|bat=20.0       	  253.7	  7007.5	  1186.19
poor|w=06.0|pv=06.0|bat=20.0          	  260.4	  3875.9	   133.49
poor|w=06.0|pv=06.0|bat=10.0          	  261.6	  3786.9	   269.41
poor|w=06.0|pv=06.0|bat=15.0          	  262.4	  3819.9	   185.26
poor|w=06.0|pv=06.0|bat=05.0          	  264.7	  3825.4	   394.78
perfect|w=06.0|pv=00.0|bat=05.0       	  266.0	  6480.3	  1249.98
perfect|w=12.0|pv=12.0|bat=15.0       	  425.4	  2581.5	  -530.81
perfect|w=12.0|pv=12.0|bat=10.0       	  427.3	  2730.3	  -379.47
perfect|w=12.0|pv=12.0|bat=05.0       	  428.6	  3197.6	  -183.67
perfect|w=12.0|pv=12.0|bat=20.0       	  433.0	  2519.0	  -663.77
poor|w=12.0|pv=00.0|bat=20.0          	  438.5	  7099.9	  1130.94
poor|w=12.0|pv=00.0|bat=10.0          	  441.6	  6673.6	  1183.10
